RegionCountryName,ImageURL
Armenia,http://www.geonames.org/flags/x/am.gif
Australia,http://www.geonames.org/flags/x/au.gif
Bhutan,http://www.geonames.org/flags/x/bt.gif
China,http://www.geonames.org/flags/x/cn.gif
India,http://www.geonames.org/flags/x/in.gif
Iran,http://www.geonames.org/flags/x/ir.gif
Japan,http://www.geonames.org/flags/x/jp.gif
Kyrgyzstan,http://www.geonames.org/flags/x/kg.gif
Pakistan,http://www.geonames.org/flags/x/pk.gif
Singapore,http://www.geonames.org/flags/x/sg.gif
South Korea,http://www.geonames.org/flags/x/kr.gif
Syria,http://www.geonames.org/flags/x/sy.gif
Taiwan,http://www.geonames.org/flags/x/tw.gif
Thailand,http://www.geonames.org/flags/x/th.gif
Turkmenistan,http://www.geonames.org/flags/x/tm.gif
Denmark,http://www.geonames.org/flags/x/dk.gif
France,http://www.geonames.org/flags/x/fr.gif
Germany,http://www.geonames.org/flags/x/de.gif
Greece,http://www.geonames.org/flags/x/gr.gif
the Netherlands,http://www.geonames.org/flags/x/nl.gif
Ireland,http://www.geonames.org/flags/x/ie.gif
Italy,http://www.geonames.org/flags/x/it.gif
Malta,http://www.geonames.org/flags/x/mt.gif
Poland,http://www.geonames.org/flags/x/pl.gif
Portugal,http://www.geonames.org/flags/x/pt.gif
Romania,http://www.geonames.org/flags/x/ro.gif
Russia,http://www.geonames.org/flags/x/ru.gif
Slovenia,http://www.geonames.org/flags/x/si.gif
Spain,http://www.geonames.org/flags/x/es.gif
Sweden,http://www.geonames.org/flags/x/se.gif
Switzerland,http://www.geonames.org/flags/x/ch.gif
United Kingdom,http://www.geonames.org/flags/x/gb.gif
Canada,http://www.geonames.org/flags/x/ca.gif
United States,http://www.geonames.org/flags/x/us.gif
